textID,text,sentiment,Time of Tweet,Age of User,Country,Population -2020,Land Area (Km),Density (P/Km),chatgpt
f87dea47db,Last session of the day  http://twitpic.com/67ezh,neutral,morning,0-20,Afghanistan,38928346.0,652860.0,60.0,neutral
96d74cb729, Shanghai is also really exciting (precisely -- skyscrapers galore). Good tweeps in China:  (SH)  (BJ).,positive,noon,21-30,Albania,2877797.0,27400.0,105.0,neutral
eee518ae67,"Recession hit Veronique Branquinho, she has to quit her company, such a shame!",negative,night,31-45,Algeria,43851044.0,2381740.0,18.0,neutral
01082688c6, happy bday!,positive,morning,46-60,Andorra,77265.0,470.0,164.0,neutral
33987a8ee5, http://twitpic.com/4w75p - I like it!!,positive,noon,60-70,Angola,32866272.0,1246700.0,26.0,neutral
726e501993, that`s great!! weee!! visitors!,positive,night,70-100,Antigua and Barbuda,97929.0,440.0,223.0,neutral
261932614e,I THINK EVERYONE HATES ME ON HERE   lol,negative,morning,0-20,Argentina,45195774.0,2736690.0,17.0,neutral
afa11da83f," soooooo wish i could, but im in school and myspace is completely blocked",negative,noon,21-30,Armenia,2963243.0,28470.0,104.0,neutral
e64208b4ef, and within a short time of the last clue all of them,neutral,night,31-45,Australia,25499884.0,7682300.0,3.0,neutral
37bcad24ca, What did you get?  My day is alright.. haven`t done anything yet. leaving soon to my stepsister though!,neutral,morning,46-60,Austria,9006398.0,82400.0,109.0,neutral
24c92644a4,My bike was put on hold...should have known that.... argh total bummer,negative,noon,60-70,Azerbaijan,10139177.0,82658.0,123.0,neutral
43b390b336, I checked.  We didn`t win,neutral,night,70-100,Bahamas,393244.0,10010.0,39.0,neutral
69d6b5d93e, .. and you`re on twitter! Did the tavern bore you that much?,neutral,morning,0-20,Bahrain,1701575.0,760.0,2239.0,neutral
5c1e0b61a1,"I`m in VA for the weekend, my youngest son turns 2 tomorrow......it makes me kinda sad, he is getting so big, check out my twipics",negative,noon,21-30,Bangladesh,164689383.0,130170.0,1265.0,neutral
504e45d9d9,Its coming out the socket  I feel like my phones hole is not a virgin. That`s how loose it is... :`(,negative,night,31-45,Barbados,287375.0,430.0,668.0,neutral
ae93ad52a0,"So hot today =_=  don`t like it and i hate my new timetable, having such a bad week",negative,morning,46-60,Belarus,9449323.0,202910.0,47.0,neutral
9fce30159a, Miss you,negative,noon,60-70,Belgium,11589623.0,30280.0,383.0,neutral
00d5195223,Cramps . . .,negative,night,70-100,Belize,397628.0,22810.0,17.0,neutral
33f19050cf, you guys didn`t say hi or answer my questions yesterday  but nice songs.,positive,morning,0-20,Benin,12123200.0,112760.0,108.0,neutral
f7718b3c23,"I`m going into a spiritual stagnentation, its exploding my ego!. I now realise, i`m not all that great. and I`m ok with that.",neutral,noon,21-30,Bhutan,771608.0,38100.0,20.0,neutral
9ef44428d0,Stupid storm. No river for us tonight,negative,night,31-45,Bolivia,11673021.0,1083300.0,11.0,neutral
be634ebeb0,My dead grandpa pays more attention to me than you do,negative,morning,46-60,Bosnia and Herzegovina,3280819.0,51000.0,64.0,neutral
3dcf4f7e13,"... need retail therapy, bad. AHHH.....gimme money geebus",negative,noon,60-70,Botswana,2351627.0,566730.0,4.0,neutral
f0ef04109b,about to go to sleep,neutral,night,70-100,Brazil,212559417.0,8358140.0,25.0,neutral
8be365118e, you are lame  go make me breakfast!!,negative,morning,0-20,Brunei,437479.0,5270.0,83.0,neutral
c50bdd4567, thats so cool,positive,noon,21-30,Bulgaria,6948445.0,108560.0,64.0,neutral
334954f215,"hey peoples, dont you just hate being grounded haha, im just sat eating an apple and watching death note (some anime)",neutral,night,31-45,Burkina Faso,20903273.0,273600.0,76.0,neutral
b783916431,"Huh, another ScarePoint coding Sunday",neutral,morning,46-60,Burundi,11890784.0,25680.0,463.0,neutral
1fa8e6ad66, look who I found just for you  --->  http://twitter.com/DJT2009,positive,noon,60-70,C�te d'Ivoire,26378274.0,318000.0,83.0,neutral
be38b29042,"No AC, the fan doesnt swing our way ... we are sweating it out on a hot humid day",negative,night,70-100,Cabo Verde,555987.0,4030.0,138.0,neutral
95701e8ed9, guess that depends on if you want to be on the jury,neutral,morning,0-20,Cambodia,16718965.0,176520.0,95.0,neutral
4dd58ecd2c,resorted to eating Mickey Ds ALONE.,neutral,noon,21-30,Cameroon,26545863.0,472710.0,56.0,neutral
cf553cccd5,"There is a faux gothy chick looking at me, sorry I am not going to camden and I like pop-punk and jimmy eat world",neutral,night,31-45,Canada,37742154.0,9093510.0,4.0,neutral
55c69c2d52, did he ask for your Twitter ID? Your sun sign?,neutral,morning,46-60,Central African Republic,4829767.0,622980.0,8.0,neutral
9b1a52cc02, where`d you go!,neutral,noon,60-70,Chad,16425864.0,1259200.0,13.0,neutral
cce5c4744a,Watching Body of Lies...good film,positive,night,70-100,Chile,19116201.0,743532.0,26.0,neutral
c7f9d559e2,Happy mothers day mumm  xoxo,positive,morning,0-20,China,1439323776.0,9388211.0,153.0,neutral
3d2478db59,So I really need to put the laptop down & start getting ready for  shindig...But I`ve missed my TwitterLoves all day,neutral,noon,21-30,Colombia,50882891.0,1109500.0,46.0,neutral
6d846d7d50, I`m sorry  at least it`s Friday?,negative,night,31-45,Comoros,869601.0,1861.0,467.0,neutral
599f51af6b,"feels sorry every time I`m printing out, I use like 200 new papers",negative,morning,46-60,Congo (Congo-Brazzaville),5518087.0,342000.0,16.0,neutral
87daa62920, 4n? ma rog  never heard of it  esti beat acum? u tweet too much,negative,noon,60-70,Costa Rica,5094118.0,51060.0,100.0,neutral
6506dc55ff, I always forget SOMETHING when I travel. I am at Newark airport.,neutral,night,70-100,Croatia,4105267.0,55960.0,73.0,neutral
746d87f93e,Should have left car and walked home! I might need someone to rescue me with petrol! Light flashing,neutral,morning,0-20,Cuba,11326616.0,106440.0,106.0,neutral
ef7ef8e474,i`m only updating this so that brett`s phone beeps  but really.. looking at wedding stuff. again.for the next five months.,neutral,noon,21-30,Cyprus,1207359.0,9240.0,131.0,neutral
d3d7b13278," Hi there.  I agree!  Small children should be running about happy, not breaking down in tears",positive,night,31-45,Czechia (Czech Republic),10708981.0,77240.0,139.0,neutral
ddc07db84e,  Hope ur havin fun in da club,positive,morning,46-60,Democratic Republic of the Congo,89561403.0,2267050.0,40.0,neutral
67afe60d31,i miss my old phone it worked so good until i dropped it  i want a new one for my birthday...,neutral,noon,60-70,Denmark,5792202.0,42430.0,137.0,neutral
17d18ba9ef,thinks SG is wonderful,positive,night,70-100,Djibouti,988000.0,23180.0,43.0,neutral
ab57d75f20,  im really sorry i know wallah how u feel this life is shittttttttt,negative,morning,0-20,Dominica,71986.0,750.0,96.0,neutral
f0acd25d8e,Not happy,negative,noon,21-30,Dominican Republic,10847910.0,48300.0,225.0,neutral
cf3b068b03,Is watching acoustic performances! & In the mood for a good 'FRIENDS' episode! I miss that show,neutral,night,31-45,Ecuador,17643054.0,248360.0,71.0,neutral
d6c34fa875, I`ll oscillate from one to the other.,neutral,morning,46-60,Egypt,102334404.0,995450.0,103.0,neutral
614aed9113,I`m so very tired...and have insomnia.,negative,noon,60-70,El Salvador,6486205.0,20720.0,313.0,neutral
dfa577d3c1, Thanks Ennio,positive,night,70-100,Equatorial Guinea,1402985.0,28050.0,50.0,neutral
10dcbe4dfb, you should totally come get me and bring me to kelslaws house with you.,neutral,morning,0-20,Eritrea,3546421.0,101000.0,35.0,neutral
a0bfb12773," You seem nice, you`re generous and you know your stuff",positive,noon,21-30,Estonia,1326535.0,42390.0,31.0,neutral
71f4a9b495, U so dirrrrrty... Why oh why did I pick the Hawks  I figured I needed a longshot and they were a better bet than CAR,neutral,night,31-45,"Eswatini (fmr. ""Swaziland"")",1160164.0,17200.0,67.0,neutral
d33ed264b3,almost got a kitty yesterday...but it didn`t work out,neutral,morning,46-60,Ethiopia,114963588.0,1000000.0,115.0,neutral
77f88ea9e2,"reality needs to check in. schools over. time to party  not tonight tho, im going to bed. night, night.",neutral,noon,60-70,Fiji,896445.0,18270.0,49.0,neutral
fe1deac869,   Caladesi was definitely a nice peaceful way to spend a Sunday! I got a lil tan!,positive,night,70-100,Finland,5540720.0,304000.0,18.0,neutral
e591a725ef, i still dont know what we would do though,neutral,morning,0-20,France,65273511.0,547557.0,119.0,neutral
2dbb28cc29,"_xo   dang it, so its not certain ? ? ? are you okay?",neutral,noon,21-30,Gabon,2225734.0,257670.0,9.0,neutral
a7e4ad250a,Change of plans. I am staying in Brandon.  No Papaya Salad for me.,neutral,night,31-45,Gambia,2416668.0,10120.0,239.0,neutral
7d87899024,"Dear rain, you suck. Now I gotta change my plans for tonight",negative,morning,46-60,Georgia,3989167.0,69490.0,57.0,neutral
461b51fa58,at starbucks with my love. eff school. i have work later too.,neutral,noon,60-70,Germany,83783942.0,348560.0,240.0,neutral
c31d79c440,I just cried whilst watching hollyoaks  .. i need a life! lol,negative,night,70-100,Ghana,31072940.0,227540.0,137.0,neutral
32ee7ef6c2,"Hi all, just recovering from a party, looking forward to an exciting bank holiday around the diy shops...life cant get much better.surely",positive,morning,0-20,Greece,10423054.0,128900.0,81.0,neutral
29f805a7d2,Terminator Salvation... by myself.,neutral,noon,21-30,Grenada,112523.0,340.0,331.0,neutral
d41fe360e4," for...the...loss. dumbface  ...him, not u. what u up to on the wknd? i wanna seeeeeee ya!",negative,night,31-45,Guatemala,17915568.0,107160.0,167.0,neutral
a04c8c8695, Why do I have to enter my registration details every time I update?,neutral,morning,46-60,Guinea,13132795.0,246000.0,53.0,neutral
25e42b2bf2,"On the monday, so i wont be able to be with you!  i love you",positive,noon,60-70,Guinea-Bissau,1968001.0,28120.0,70.0,neutral
5843d17b1d," Ur so cute..I`m a fan of Dream A Little Dream, This Kiss and appearances like in Dawson`s Creek  Make more flicks!",positive,night,70-100,Guyana,786552.0,196850.0,4.0,neutral
